wellName,datasetName,DEPTH,MTVDSS,TOPS,X,Y
,,M,M,,,
BEKOK DEEP-1RDR1,TOPS_I110_v2,778.254984,744.236256,coal_12,525530.51,598618.37
BEKOK DEEP-1RDR1,TOPS_I110_v2,803.830752,769.812024,coal_11,525530.5,598618.33
BEKOK DEEP-1RDR1,TOPS_I110_v2,814.05984,780.041112,coal_10,525530.5,598618.32
BEKOK DEEP-1RDR1,TOPS_I110_v2,829.84848,795.829752,coal_9,525530.5,598618.32
BEKOK DEEP-1RDR1,TOPS_I110_v2,878.442744,844.424016,coal_8,525530.54,598618.31
BEKOK DEEP-1RDR1,TOPS_I110_v2,890.140968,856.12224,I60Top,525530.55,598618.3
BEKOK DEEP-1RDR1,TOPS_I110_v2,958.754496,924.735768,I60Base,525530.6,598618.23
BEKOK DEEP-1RDR1,TOPS_I110_v2,961.84212,927.823392,I68Top,525530.61,598618.24
BEKOK DEEP-1RDR1,TOPS_I110_v2,987.329496,953.310768,I68Base,525530.64,598618.24
BEKOK DEEP-1RDR1,TOPS_I110_v2,996.415584,962.396856,coal_7,525530.65,598618.24
BEKOK DEEP-1RDR1,TOPS_I110_v2,1017.492504,983.473776,coal_6,525530.63,598618.23
BEKOK DEEP-1RDR1,TOPS_I110_v2,1039.8252,1005.806472,coal_5,525530.6,598618.24
BEKOK DEEP-1RDR1,TOPS_I110_v2,1091.507088,1057.48836,coal_4,525530.58,598618.23
BEKOK DEEP-1RDR1,TOPS_I110_v2,1163.211288,1129.19256,Coal_3,525530.51,598618.13
BEKOK DEEP-1RDR1,TOPS_I110_v2,1187.095416,1153.076688,I100Top,525530.48,598618.1
BEKOK DEEP-1RDR1,TOPS_I110_v2,1228.93836,1194.919632,I100Base,525530.47,598618.04
BEKOK DEEP-1RDR1,TOPS_I110_v2,1248.305352,1214.286624,I105FS,525530.46,598618.01
BEKOK DEEP-1RDR1,TOPS_I110_v2,1257.991896,1223.973168,I105SB,525530.45,598617.98
BEKOK DEEP-1RDR1,TOPS_I110_v2,1259.272056,1225.253328,I110 Top,525530.45,598617.98
BEKOK DEEP-1RDR1,TOPS_I110_v2,1278.443976,1244.425248,I110 Base,525530.42,598617.93
BEKOK DEEP-1RDR1,TOPS_I110_v2,1287.011904,1252.993176,I115FS,525530.42,598617.9
BEKOK DEEP-1RDR1,TOPS_I110_v2,1291.693632,1257.674904,Coal_1,525530.41,598617.89
BEKOK DEEP-1RDR1,TOPS_I110_v2,1335.075816,1301.057088,I115SB,525530.36,598617.82
BEKOK DEEP-1RDR1,TOPS_I110_v2,1349.188056,1315.169328,J5,525530.35,598617.8
BEKOK DEEP-1RDR1,TOPS_I110_v2,1372.045008,1338.02628,E_Horizon,525530.32,598617.75
BEKOK DEEP-1RDR1,TOPS_I110_v2,1402.208016,1368.189288,J10FS,525530.25,598617.7
BEKOK DEEP-1RDR1,TOPS_I110_v2,1409.352528,1375.3338,J10SB,525530.23,598617.69
BEKOK DEEP-1RDR1,TOPS_I110_v2,1429.883856,1395.865128,J15FS,525530.16,598617.64
BEKOK DEEP-1RDR1,TOPS_I110_v2,1443.465744,1409.447016,J15SB,525530.12,598617.6
BEKOK DEEP-1RDR1,TOPS_I110_v2,1456.60872,1422.586944,J17FS,525530.08,598617.56
BEKOK DEEP-1RDR1,TOPS_I110_v2,1463.750184,1429.731456,J17SB,525530.06,598617.54
BEKOK DEEP-1RDR1,TOPS_I110_v2,1477.234536,1443.21276,J18FS,525530.03,598617.51
BEKOK DEEP-1RDR1,TOPS_I110_v2,1481.818728,1447.8,J18SB,525530.03,598617.5
BEKOK DEEP-1RDR1,TOPS_I110_v2,1483.318344,1449.299616,J19FS,525530.02,598617.5
BEKOK DEEP-1RDR1,TOPS_I110_v2,1495.01352,1460.994792,J19FS_mod,525530.01,598617.48
BEKOK DEEP-1RDR1,TOPS_I110_v2,1495.223832,1461.205104,J19SB,525530.01,598617.48
BEKOK DEEP-1RDR1,TOPS_I110_v2,1496.177856,1462.159128,J20FS,525530.01,598617.48
BEKOK DEEP-1RDR1,TOPS_I110_v2,1517.693688,1483.67496,J20SB,525530.01,598617.47
BEKOK DEEP-1RDR1,TOPS_I110_v2,1524.280416,1490.25864,J28FS,525530,598617.47
BEKOK DEEP-1RDR1,TOPS_I110_v2,1538.212824,1504.194096,J28SB,525529.99,598617.46
BEKOK DEEP-1RDR1,TOPS_I110_v2,1540.242792,1506.221016,J30FS,525529.99,598617.46
BEKOK DEEP-1RDR1,TOPS_I110_v2,1552.59024,1518.568464,J30SB,525529.98,598617.45
BEKOK DEEP-1RDR1,TOPS_I110_v2,1556.116776,1522.098048,J40FS,525529.98,598617.45
BEKOK DEEP-1RDR1,TOPS_I110_v2,1569.244512,1535.222736,J40SB,525529.97,598617.44
BEKOK DEEP-1RDR1,TOPS_I110_v2,1584.414408,1550.392632,J50FS,525529.95,598617.43
BEKOK DEEP-1RDR1,TOPS_I110_v2,1604.875632,1570.853856,J60FS,525529.92,598617.44
BEKOK DEEP-1RDR1,TOPS_I110_v2,1636.907064,1602.888336,J70FS,525529.91,598617.45
BEKOK DEEP-1RDR1,TOPS_I110_v2,1689.6588,1655.637024,J70SB,525529.88,598617.45
BEKOK DEEP-1RDR1,TOPS_I110_v2,1930.69464,1896.672864,K10FS,525529.53,598616.66
BEKOK DEEP-1RDR1,TOPS_I110_v2,1989.432648,1955.410872,K10SB,525529.48,598616.46
BEKOK DEEP-1RDR1,TOPS_I110_v2,1996.42476,1962.402984,K15FS,525529.44,598616.44
BEKOK DEEP-1RDR1,TOPS_I110_v2,2037.965952,2003.941128,K15SB,525529.24,598616.3
BEKOK DEEP-1RDR1,TOPS_I110_v2,2041.407144,2007.38232,K20FS,525529.23,598616.29
BEKOK DEEP-1RDR1,TOPS_I110_v2,2117.405976,2083.381152,K25SB,525529,598616.26
BEKOK DEEP-1RDR1,TOPS_I110_v2,2130.817176,2096.792352,K28FS,525529,598616.27
BEKOK DEEP-1RDR1,TOPS_I110_v2,2151.888,2117.863176,K28SB,525529,598616.25
BEKOK DEEP-1RDR1,TOPS_I110_v2,2155.33224,2121.307416,K30FS,525529,598616.25
BEKOK DEEP-1RDR1,TOPS_I110_v2,2200.043352,2166.018528,K30SB,525528.95,598616.19
BEKOK DEEP-1RDR1,TOPS_I110_v2,2200.924224,2166.8994,K35FS,525528.95,598616.19
BEKOK DEEP-1RDR1,TOPS_I110_v2,2230.468488,2196.446712,K35SB,525528.88,598616.18
BEKOK DEEP-1RDR1,TOPS_I110_v2,2304.906744,2270.88192,L Shale,525528.74,598616.01
BEKOK DEEP-1RDR1,TOPS_I110_v2,2366.424528,2332.396656,L20FS,525528.54,598615.69
BEKOK DEEP-1RDR1,TOPS_I110_v2,2440.9146,2406.886728,L20SB,525528.46,598615.7
BEKOK DEEP-1RDR1,TOPS_I110_v2,2483.897496,2449.872672,L40FS,525528.43,598615.67
BEKOK DEEP-1RDR1,TOPS_I110_v2,2568.080208,2534.052336,L60FS,525528.34,598615.28
BEKOK DEEP-1RDR1,TOPS_I110_v2,2657.334792,2623.30692,M Shale,525528.12,598614.84
